statsbomb_match_id,world_cup_year,date,kick_off,competition_stage,stadium,referee,team_name,opponent_name,is_home,goals_scored,goals_conceded,total_shots,shots_on_target,shots_off_target,shots_blocked,shots_open_play,shots_free_kick,shots_penalty,shots_right_foot,shots_left_foot,shots_header,xg,xg_conceded,total_passes,passes_completed,passes_incomplete,avg_pass_length,long_passes,long_passes_completed,short_passes,ground_passes,low_passes,high_passes,through_balls,crosses,corners,free_kicks,goal_kicks,throw_ins,kick_offs,fouls_committed,fouls_won,handballs,yellow_cards,red_cards,second_yellows,offsides,clearances,interceptions,blocks,ball_recoveries,tackles,tackles_won,aerial_duels,aerial_duels_won,aerial_duels_lost,aerial_duels_total,pressures,dribbles_attempted,dribbles_completed,dispossessed,miscontrols,gk_saves,gk_punches,gk_claims,gk_sweeper,ball_possession_pct,possession_sequences,substitutions,fifty_fiftys,shot_accuracy,shot_conversion_rate,xg_per_shot,xg_overperformance,xg_differential,pass_completion_pct,long_pass_completion_pct,long_pass_ratio,cross_ratio,tackle_success_rate,aerial_win_pct,defensive_actions,pressure_intensity,recoveries_per_possession_lost,dribble_success_rate,discipline_index,goal_difference,match_result,is_clean_sheet,possession_differential,set_piece_passes,set_piece_ratio,gk_total_actions
7530,2018,2018-06-16,12:00:00.000,Group Stage,Ak Bars Arena,Andrés Cunha,France,Australia,1,2,1,12,4,3,5,9,2,1,5,6,1,1.5616,0.98,549,445,104,21.27,102,74,416,402,36,111,1,10,5,11,1,21,2,17,20,2,1,0,0,0,9,7,13,50,15,10,7,9,7,16,136,25,0,20,4,1,0,1,0,57.2,96,3,1,33.3,16.7,0.1301,0.4384,0.5816,81.1,72.5,18.6,1.8,66.7,56.2,44,136,2.08,0.0,2.7,1,W,0,7.2,38,6.9,2
7530,2018,2018-06-16,12:00:00.000,Group Stage,Ak Bars Arena,Andrés Cunha,Australia,France,0,1,2,5,2,2,1,4,0,1,2,1,2,0.98,1.5616,444,342,102,22.88,95,51,329,306,32,106,0,8,1,12,6,14,2,20,15,0,3,0,0,0,19,15,16,48,30,16,9,7,9,16,113,5,0,13,9,3,1,2,0,42.8,80,3,1,40.0,20.0,0.196,0.02,-0.5816,77.0,53.7,21.4,1.8,53.3,43.8,80,113,2.18,0.0,5.0,-1,L,0,-7.2,33,7.4,6
7531,2018,2018-06-16,15:00:00.000,Group Stage,Otkritie Bank Arena,Szymon Marciniak,Argentina,Iceland,1,1,1,28,7,9,12,24,3,1,8,15,5,2.0805,1.0321,796,694,102,18.33,76,58,697,670,22,104,0,17,10,8,2,13,1,11,17,2,0,0,0,0,10,3,13,54,9,7,10,15,10,25,84,15,0,18,9,1,2,0,0,77.1,77,3,3,25.0,3.6,0.0743,-1.0805,1.0484,87.2,76.3,9.5,2.1,77.8,60.0,35,84,2.0,0.0,1.1,0,D,0,27.1,33,4.1,3
7531,2018,2018-06-16,15:00:00.000,Group Stage,Otkritie Bank Arena,Szymon Marciniak,Iceland,Argentina,0,1,1,9,2,5,2,9,0,0,6,2,0,1.0321,2.0805,224,137,87,27.29,77,30,140,94,36,94,1,6,2,10,6,12,1,17,9,0,0,0,0,0,20,28,26,33,24,17,15,10,15,25,176,7,0,8,10,5,2,1,0,22.9,60,3,3,22.2,11.1,0.1147,-0.0321,-1.0484,61.2,39.0,34.4,2.7,70.8,40.0,98,176,1.83,0.0,1.7,0,D,0,-27.1,30,13.4,8
7532,2018,2018-06-16,18:00:00.000,Group Stage,Mordovia Arena,Bakary Papa Gassama,Peru,Denmark,1,0,1,17,6,8,3,16,0,1,7,6,4,1.9264,1.1216,435,347,88,21.33,79,47,333,292,32,111,0,15,3,14,4,18,1,12,19,1,1,0,0,3,20,8,19,44,12,4,16,15,16,31,121,17,0,10,14,2,1,0,0,53.8,85,3,2,35.3,0.0,0.1133,-1.9264,0.8048,79.8,59.5,18.2,3.4,33.3,48.4,59,121,1.83,0.0,2.2,-1,L,0,3.8,39,9.0,3
7532,2018,2018-06-16,18:00:00.000,Group Stage,Mordovia Arena,Bakary Papa Gassama,Denmark,Peru,0,1,0,11,3,5,3,10,1,0,3,7,1,1.1216,1.9264,402,302,100,22.12,68,31,311,251,45,106,0,9,7,9,9,16,1,21,11,2,2,0,0,3,16,11,19,34,13,9,15,16,15,31,170,11,0,9,10,6,1,1,0,46.2,84,3,2,27.3,9.1,0.102,-0.1216,-0.8048,75.1,45.6,16.9,2.2,69.2,51.6,59,170,1.79,0.0,4.1,1,W,1,-3.8,41,10.2,8
7533,2018,2018-06-17,20:00:00.000,Group Stage,	Rostov Arena,César Arturo Ramos Palazuelos,Brazil,Switzerland,1,1,1,21,4,10,7,20,1,0,13,3,5,1.8829,0.4721,555,473,82,18.68,65,39,473,445,56,54,1,11,7,9,3,8,1,12,21,1,1,0,0,0,11,22,17,54,11,8,5,6,5,11,234,31,0,13,15,1,0,1,0,58.7,97,3,0,19.0,4.8,0.0897,-0.8829,1.4108,85.2,60.0,11.7,2.0,72.7,54.5,61,234,1.93,0.0,2.2,0,D,0,8.7,27,4.9,2
7533,2018,2018-06-17,20:00:00.000,Group Stage,	Rostov Arena,César Arturo Ramos Palazuelos,Switzerland,Brazil,0,1,1,7,2,4,1,7,0,0,3,2,2,0.4721,1.8829,458,363,95,21.25,74,37,365,343,31,84,0,8,2,7,7,16,1,21,11,0,2,0,0,0,21,15,22,38,18,12,6,5,6,11,266,20,0,2,7,3,0,0,0,41.3,85,3,0,28.6,14.3,0.0674,0.5279,-1.4108,79.3,50.0,16.2,1.7,66.7,45.5,76,266,4.22,0.0,4.1,0,D,0,-8.7,32,7.0,3
7534,2018,2018-06-17,17:00:00.000,Group Stage,Stadion Luzhniki,Alireza Faghani,Germany,Mexico,1,0,1,26,9,9,8,25,1,0,15,9,2,2.2993,0.9933,619,521,98,19.8,91,63,503,467,49,103,0,27,6,8,1,14,2,13,13,1,2,0,0,1,4,6,16,50,14,10,8,10,8,18,165,15,0,12,5,3,0,0,1,65.6,99,3,1,34.6,0.0,0.0884,-2.2993,1.306,84.2,69.2,14.7,4.4,71.4,55.6,40,165,2.94,0.0,3.3,-1,L,0,15.6,29,4.7,4
7534,2018,2018-06-17,17:00:00.000,Group Stage,Stadion Luzhniki,Alireza Faghani,Mexico,Germany,0,1,0,12,4,6,2,11,1,0,8,3,1,0.9933,2.2993,324,247,77,23.85,73,40,232,215,38,71,3,4,1,7,10,16,1,15,11,2,2,0,0,2,23,17,32,36,16,10,10,8,10,18,324,27,0,4,8,9,0,1,0,34.4,84,3,1,33.3,8.3,0.0828,0.0067,-1.306,76.2,54.8,22.5,1.2,62.5,44.4,88,324,3.0,0.0,3.5,1,W,1,-15.6,34,10.5,10
